,sentiment,review,,,,
,0,"Section 499 of the Indian Penal Code, 1860 is defined and the Penal Code, Section 500, refers to the penalties imposed.",,,,
,1,The fact is that the police crews in the vehicle have no bullet-proof shields and they are no longer alert.,,,,
,0,No responsibility for the country or the people.,,,,
,0,Ambedkar said that the son of a hired son was the prime minister of the country.,,,,
,0,Everyone should recognize that terrorism that provokes people on religious grounds is a threat to the world.,,,,
,1,The state police had ordered the police officers of the DGP Anuragsharma district to prepare a pre-planned plan to conduct the Godavari Pushkar in the district.,,,,
,0,This caused tragedy in Tanyaayakantanda.,,,,
,0,"However, the committee comprising the finance minister, finance secretary and state finance ministers will decide what the tax is going to be.",,,,
,1,"This system works for pilgrims and mountaineers, as it is not just limited to the ground, but also extends to the blue water.",,,,
,1,"Turkey&#39;s President Erdogan warns that if the whole world does not fight in terror,",,,,
,1,The government is committed to developing all the towns in Telangana.,,,,
,0,"This verdict after the expectation of the victims would provide relief for the family minds of the victims, but did not change the distress of their lives.",,,,
,0,Nearly every country with historic and commercial relations with Britain has been advocating voters.,,,,
,0,The reason for the Prime Minister&#39,s refusal is unknown.,,,
,1,"It is now anticipated that power and opposition politicians have come forward and working to restore the process of negotiations, including the last NDA government.",,,,
,1,There is a big reason for football and light sports activities to create this sport and infrastructure.,,,,
,0,Chief Minister Arvind Kejriwal is lobbying to say that the central government is interfering with the state Lt. Governor in Delhi&#39,s affairs.,,,
,0,&quot,Dutherty is in charge of his duties. Why is it a reward? &#39, He refused.,,
,0,"Since 2012, Al Qaeda militants have done their best in France.",,,,
,1,The bilateral and mutual cooperation between the two countries are discussed.,,,,
,0,There are no such recommendations for various states.,,,,
,1,He has worked hard for social justice.,,,,
,0,What is the real community and what is the nakki it does not matter is that the Indian Olympic Association is not aware of the clutches of the head.,,,,
,0,Sawaseera says.,,,,
,0,Burhan is a school headmaster son of Kashmir.,,,,
,1,"Particularly, the barricades should be set up at bathrooms, parking lots for parking, medical camps, power supply, drinking water, cranes, police and other basic facilities.",,,,
,0,"Jammu and Kashmir has always been turbulent, with the intimidation of terrorists from Pakistan, the political parties that are ready to criticize the Indian government, the separatist concerns of separating Jammu and Kashmir from the country and some local leaders who support this.",,,,
,0,"If it works the same, the DDs will enter the field.",,,,
,0,He is not in the constitution of such statements even after being appointed governor.,,,,
,0,The local militant activists who have been actively involved in the borders and the borders coming from the border are losing popularity in the Kashmir community for some time.,,,,
,0,"If the Malayalam and Tamil films are capable at national level, the cinematography of the Telugu cinema has not gone out of the way and the caterpillar that has led to a variety of criticisms.",,,,
,0,The Beedi industries are likely to be able to get rid of this.,,,,
,0,"To understand one piece, he is a Philippine trump.",,,,
,0,"The National Green Tribunal has struck several stairs for the Ravi Shankar, who announced that he would not go to jail but paid no money.",,,,
,1,They say they have strength of 35.,,,,
,0,"This is not the Kashmir Police, but the CRPF only, &quot;said the students&#39; leader who broke the demands of the center on Wednesday between the rest of the harsh men.",,,,
,1,"The possibility of a further stake in the space market for the ISRO, which has risen from dependency to self-reliance, satellite experiments on one side and the success of space exploration on the other.",,,,
,0,"But, according to the Central Pollution Control Authority, the expenditure is above Rs 20,000 crore.",,,,
,0,Mehbooba was on his first visit to Delhi as the Chief Minister on the first day of the trio of Bal Thackeray.,,,,
,0,Many of the conspiracies.,,,,
,1,Forest officials have decided to make a plan for smuggling and go to villages that are mostly smuggled and take steps to make them transition.,,,,
,1,Forest officials prepared an iron ladder to visit the Shivalinga at Someshwari Temple at the NeradiGonda Mandala Kundala Falls.,,,,
,0,Seeing them in millions of social media. They are looking for black opposition to whitewash.,,,,
,1,She won the mixed doubles title with Mahesh Bhupathi of India in 2009.,,,,
,1,Many MLAs brought issues to the attention.,,,,
,0,"A petition filed by the Center for Public Interest Litigation, a non-profit organization, Sinha.",,,,
,0,"Terrorists have recently been attacked in America, Britain, France and Turkey.",,,,
,1,Students sue to study the mass copy without typing.,,,,
,1,"Jeddah, Jaffrapur in Nirmal Mandal, was constructed for the road construction works by ITDA at a cost of Rs 60 lakh and was jointly with JPC chairperson Shobhana Satyanarayana Gowda.",,,,
,0,"Under the GST the state excise, service taxes, states vat, introduction, arcticai, and other tariffs to the states are included.",,,,
,0,"The petitioner&#39;s love of the environment, not just for the campaign, is of the relevance of the question of why the case was not done before.",,,,
,0,Eu presidentials started pressuring Britain to &quot,start the process of exhausting immediately&quot,.,,
,0,Any local media went there and broadcast all of what he said.,,,,
,0,"When it finds the area covered with bloodstains, broken bodies, and spilled blood, it does not look like a spiritual place that is dreadful in the past.",,,,
,0,There are cases of terrorists going to any state in any country.,,,,
,0,"Since the Supreme Court has renewed its resignation on December 15, the 11th resignation of the Speaker and the remaining two resignations will be reduced to the overall effect.",,,,
,0,"The long-standing party in TDP, the former district general secretary Rajeshwar Gowda,",,,,
,0,Every politician in this country is an evidence of his preference for the peak of the Ambedkar legacy for the legacy.,,,,
,1,"In addition to commercial success, ISRO has succeeded in achieving massive capacitors in the same way that it is able to achieve the same capabilities in orbit.",,,,
,1,"There are no possibilities for the farmers who rein in the loan, except the farmers who have provided loan guarantees.",,,,
,0,All three died there on the spot. The 22-year-old murderer is a key figure in Hezbool. There is a reward of Rs 10 lakh on his head.,,,,
,0,"In August of the same year, the Supreme Court had challenged the plea of the non-governmental organization &#39;Sankalp&#39; on the basis of the plea of the Supreme Court in the judgment of the Supreme Court that the seven-member bench of the Supreme Court has not taken into consideration the judgment given in Preeti Srivastava case.",,,,
,1,"In other words, politicians and politicians have come to terms with all the tasks in a manner that is incompatible.",,,,
,0,"Recovery process between US-Cuban diplomatic relations began with the announcement of Obama and Rawal Castro simultaneously on December 17, 2014.",,,,
,0,"But the Prime Minister&#39;s Office had to answer for an application filed under the Right to Information Act, and the old files were sung in the old way, except the two files filed by the UPA government in 2012.",,,,
,0,Chandrababu Naidu took over as Chief Minister of Andhra Pradesh for two years.,,,,
,0,"In terms of titles, Indo-Swiss is the eighth, respectively.",,,,
,0,"Fertilizers, oils, paper, tanning, metals, chemicals, pharmaceuticals, and color manufacturing industries are damaging the river basins.",,,,
,0,The minister has ordered forest officials to be in the villages allotted for smuggling.,,,,
,0,"Before the names of the other leaders, he was in the limelight, like &#39;Liar&#39; and &#39;Lilliput&#39;.",,,,
,0,"Narendra Modi, who was elected from Varanasi, is now in the Union Cabinet with 16 ministers.",,,,
,0,"However, it is not easy to find that another fourteen countries, including the United States, are not in favor of entry into Pakistan.",,,,
,1,Officials have made it clear that the government regulation that does not apply to the non-renewal of farmers is being implemented to identify the eligible farmers.,,,,
,0,"The opposition has been questioning Mehboobha Mufti, now crooked by the crooked tears, who have been wounded in the wing of the smallest and ever-occurring event of the army and the army&#39;s special powers.",,,,
,0,"At this stage, banks do not seem to be active.",,,,
,1,The Minister opened the farmers&#39, loan waivers Monday at his native village Elleppilly and loaned up to 50 farmers.,,,
,0,"Whether it is necessary or unhappy or uncontrolled, the authority to see the injustice of the untouchability is always seen.",,,,
,1,"In this case, the Union Ministry of Finance is inevitable to seek his successor.",,,,
,0,Bregzt&#39,s advocacy is one of the main reasons associated with the EU to increase immigration and increase immigration into the country.,,,
,0,"After seven days of devotion, this celebration is celebrated for many hours on the last day of &#39;Matsara Kambham&#39;.",,,,
,1,"Sania&#39;s victory in the unseen country, except for cricket, is a tribute to Tennysu .. Mithali Sena&#39;s win also showed women power.",,,,
,0,That is why there is no doubt that the country has achieved progress in this field.,,,,
,1,"In the constituency Incharge Konderi Ramesh, Urban Secretary Puli Srikanth, Executive Secretary of the Girija Morcha Rathod Ravinder, Bijayayam leaders Arka Seetharam and others.",,,,
,0,Their argument is that the Indian defense system is not as strong as it is now.,,,,
,0,"However, the CBI investigations revealed that the unarmed and detached were taken to three places.",,,,
,1,"Concerns over the issue of intruders, the more vulnerable in Jammu and Kashmir, the most vital state in the country is provoking more insecurity.",,,,
,0,"The meeting was attended by DPO Pokhaiah, RDWL AC Indrasain, Divisional Panchayat Officer Sudarshan, Dwamma APP Madhusudhranov and other officials. The District Secretary of the District, Poonam Sachin and District Vice President Kiran urged Jayapraksha to conduct the state conferences at Kodada in Nalgonda district under the Indian Student Federation (ASEFI) for three days from today to discuss issues in education.",,,,
,0,About 50 posts are vacant in various departments.,,,,
,1,"The district is headed by Minister Allalo Indrakra Reddy, who has been in charge of the Divisional Department.",,,,
,0,"In the past, many incidents have proven that the black people in the United States stand in the presence of the police, run away, do not fall bockboards or put them in the pocket.",,,,
,1,"The scam has been arrested along with Chief Minister&#39;s assistant Tenny Joppan, Biju Radhakrishnan and Malayalam cinema / TV actress Salu Menon.",,,,
,0,"Even if the central government starts taking immediate steps, the situation is not restricted.",,,,
,0,This was the scenario where the country&#39,s rulers delivered speeches on equality and equality at the National Convention of Women&#39,s First Lady in the country to celebrate International Women&#39,s Day.,
,0,The decision was taken in protest against Chandrababu&#39,s domination of the Telangana people.,,,
,0,There is no atmosphere that can give a strong competition.,,,,
,0,"Throughout his lifetime, Bodhisattudu Ambedkar fought against these religions and against Hindu religion and finally died as a Hindu.",,,,
,0,Jodi Somayya (68) from Mereboguda village died on Wednesday when he died of an accident at Elloor suburb of Mandal.,,,,
,0,"The committee has conducted extensive consultations with various institutes, state officials and national organizations.",,,,
,1,It has got unique skill in the work of carnivorous work.,,,,
,0,Students in hostels can also apply.,,,,
,0,It pushed the world into the nuclear weapons competition with the most appalling results.,,,,
,0,This principle applies to all sectors.,,,,
,1,"For two years, the positive winds are now struggling with the belief that they are coming.",,,,
,0,"For a long time, Islam has been propagated by the country&#39;s religions as an ecclesiastical preacher.",,,,
,1,She has a clarity on her politics since she was studying in Oxford.,,,,
,0,This is the main question that has not been answered for twelve years.,,,,
,0,It lays down to 4 lakh till Wednesday evening.,,,,
,0,The Islamic State is now gradually weakening in many cases.,,,,
,0,"Until the summer, the bores, the wells, the water, the clutches of the water will cause a lot of trouble.",,,,
,0,He has gone through a lot of lies and knows that he loves people to tell him about it.,,,,
