Review,Label
నేను మూడు నెలల ముందు ఒక కొత్త సామ్సంగ్J2 2016 పరికరాన్ని కొనుగోలు చేసాను ఇప్పుడు దాని ఉపయోగం లేదు ఛార్జింగ్ పోర్ట్ పని చెయ్యటం లేదు ప్రతిసారీ ఆగిపోతూ ఉంటుంది  నేను ఈ పరికరంతో పూర్తిగా విసుగు చెందాను  నేను సామ్సంగ్ కేర్ కు వెళ్ళినప్పుడు వారు ఇది ఒక సాధారణ సమస్య రిపేయిర్ అవ్వదు అని చెప్పారు నేను ఈ పరికరాన్ని కొనుగోలు చేసి డబ్బులు దండగ చేసాను నేను ఇంటర్నెట్ లో వెతికి నప్పుడు  ఈ మోడల్కి వ్యతిరేకంగా చాలా ఫిర్యాదులు ఉన్నాయి  కాబట్టి గైస్ దీనిని కొనుగోలు చేయ్యద్దు,0
నా దగ్గర రెడ్మి నోట్ 3 32 gb and 3gb  ఉంది ఇది అద్భుతమైన ఫోన్ మరియు ఆపిల్ ఫోన్ల వలె కనిపిస్తుంది ఇది 12000 పరిధిలో నేను ఊహించని పలు ఫీచర్స్ కలిగి ఉంది నేను ఈ ఫోన్ను ఇతరులకు సూచిస్తాను ఎందుకంటే దీనిలో అనేక అద్భుతమైన ఫీచర్స్ ఉన్నాయి  ఇది మంచి బడ్జెట్ ఫోన్ మరియు ఇది ప్రజలను ఆకర్షించే స్పష్టమైన సౌండ్ నాణ్యత కలిగి ఉంటుంది  రెడ్మి నోట్ 3 లో OTG సపోర్ట్ ఉంది మరియు దీనిలో హెక్సా- కోర్ మాక్స్ 1 8GHZ ఉంది ఇది Android యొక్క మార్ష్మల్లౌ వర్షన్ని సపోర్ట్ చేస్తుంది,1
నేను ఈ కెమెరాని ఉపయోగించాను నేను ఎదుర్కొన్న మొట్టమొదటి విషయం ఏమిటంటే అది స్పష్టంగా లేదు మరియు ఫ్లాష్ కూడా కొద్దిగా తక్కువ నాణ్యతతో ఉంది సాధారణంగా మంచి కెమెరా గేర్ తెలుపు ఫ్లాష్ ఇస్తుంది కానీ ఇది పసుపు ఫ్లాష్ ఇస్తుంది   ధర కూడా కొంచం ఎక్కువగా ఉందని నేను భావిస్తున్నాను చిత్రం నాణ్యత చాలా స్పష్టంగా ఉంది దీనిలో మంచి ఫీచర్లు కూడా ఉన్నాయి కానీ కానన్లో ఉన్న రివైన్డిగ్ నాణ్యత అంత కాదు,0
"హాయ్ ఫ్రెండ్స్ నేను ఈ సామ్సంగ్ led ఉత్పత్తుల గురించి చెప్పాలనుకుంటున్నాను  నేను ఇప్పటికే ఈ సామ్సంగ్ ఉత్పత్తులను సామ్సంగ్ TV 26"" సుమారు 8 సంవత్సరాలు  సామ్సంగ్ Led 4 సంవత్సరాలు ఉపయోగించాను చాలా ఉత్తమమైనవి మరియు సమస్యలు ఏవీ లేవు   ఈ ఉత్పత్తులు hd లేదా నాన్ hd ఛానెల్లలో చాలా అధిక నాణ్యతను ఇస్తాయి మరియు అద్భుతమైన సౌండ్ నాణ్యత  అన్ని led ఉత్పత్తులకు కంపెనీ ఒక సంవత్సరం వారంటీ ఇస్తుంది మరియు ఉత్తమ ఇంటి సెర్విస్ అందించబడుతుంది  దేశవ్యాప్త సేవ అందుబాటులో ఉంది మరియు ధర ఎక్కువ కాదు మరియు ఇవి బడ్జెట్లో ఉన్నాయి",1
ఈ ఫోన్కు మంచి పేరు ఉన్నందున నేను జియోమి రెడ్మి4aని ఉపయోగిస్తున్నాను ఇది క్వాడ్ కోర్ ప్రాసెసర్ను ఉపయోగిస్తుంది ఇది రీడిమి 4A మోడల్ను ఉపయోగించింది  ఇది 16 gb అంతర్గత నిల్వను కలిగి ఉంది ఇది బంగారు రంగులో ఉంది దీనికి రెండు కేమరాలు ఉన్నాయి మొదటిది 13 0 mp రెండవది 5 0 mp  4G డాటా కేపబల్ ఫీచర్లు  ఎయిర్ జెస్చర్   బ్లూటూత్ ఎనేబల్డ  కలర్ స్క్రీన్  డ్యుయల్ కోర్   డ్యుయల్ సిమ్   ఈమేయిల్  ఎక్సటర్నల్ మెమొరీ ఉన్నాయి  దీని స్క్రీన్ సైజ్ 5  ఇంచులు - 5 9 ఇంచులు  డ్యుయల్ సిమ్   GSM + GSM   దీనిలో 2gb ram ఉంది,1
నేను ఈ ఫోన్ను తీసుకువచ్చాను కానీ బ్యాటరీ సామర్థ్యం కేవలం 3000 mAh మాత్రమే ఇది సరిపోదు  దీని ప్రాసెసర్ ఆక్టా ప్రాసెసర్ మంచి ప్రదర్శన కోసం తగినది కాదు దీని అంతర్గత మెమరీ 32gb సంస్థ ఈ మోడల్ ని  కిరీటం బంగారం  ఒక్క రంగులో మాత్రమే చేసింది దీని స్లాట్ 1 నానో సిమ్ మరియు స్లాట్ 2 మైక్రో సిమ్ / మైక్రో SD కార్డు  హైబ్రిడ్  నేను ఒక SIM కార్డును ఉపయోగిస్తే మరొక SIM కార్డును ఉపయోగించలేను ఇది ప్రధాన సమస్య మరియు దాని ముందు కెమెరా మంచిది కాదు నేను మొత్తంగా ఆలోచిస్తే ధర ఎక్కువ ఉంది మరియు దాని పనితీరు ఈ ధరకి తగినట్టు లేదు,0
అత్యల్ప ధరలో ఉత్తమ మొబైల్ చాలా స్లిమ్  రెడ్మీ లో ఉత్తమ తక్కువ ధర మొబైల్    నిర్దేశాలు చాలా బాగున్నాయి టచ్ వేగం బాగుంది నా సోదరుడు ఇటీవలే ఈ మొబైల్ ను కొన్నాడు సెన్సార్ కూడా బాగుంది ఈ మొబైల్ కొనుగోలు చేయడం మంచిది  చౌక మరియు ఉత్తమమైనది మరియు డబ్బుకు తగ్గ విలువ  రెడ్మి మొబైల్లను కొనుగోలు చేయమని నా సలహా,1
హాయ్ ఫ్రెండ్స్ నేడు నేను కోరియో LCD TV గురించి నా సమీక్ష ఇస్తున్నాను నేను ఈ TV గురించి నా వ్యక్తిగత అభిప్రాయాన్ని పంచుకుంటున్నాను ఈ TVని కొనుగోలు చేయమని నా స్నేహితుడు సూచించారు  నేను ఈ TVని కొనుగోలు చేయటానికి ఇష్టపడలేదు అయినా నేను అప్పటికీ ఈ TVని కొనవలసి వచ్చింది ఎందుకంటే అతను అది అత్యుత్తమమని చెప్పాడు కాబట్టి నేను ఈ TVని ఒక షోరూమ్ నుండి కొనుగోలు చేసాను ఇది ఒక ఖరీదైన TV ఈ TV యొక్క వీడియో నాణ్యత చాలా చెత్తది వారు 720p కు మద్దతు ఇస్తుంది అని చెప్పారు కాని ఇది 480p కే మద్దతు ఇస్తోంది ఈ TV స్పీకర్ సరిగా పనిచేయదు సౌండ్ నాణ్యతను స్పష్టం చేయడానికి బాహ్య స్పీకర్ను ఉపయోగించాలి ఈ TV పూర్తిగా డబ్బు దండగ ఈ TV సేవ చెత్తగా ఉంది ఈ TVని కొనుగోలు చేయవద్దు చదివినందుకు ధన్యవాదములు,0
ఫ్రెండ్స్ నికాన్ కూల్పిక్స్ b700 చాలా అరుదైన కెమెరా మరియు ఈ కెమెరా 60 మెగాపిక్సెల్స్ రిజల్యూషన్ ఇస్తుంది మరియు అది సూక్ష్మ tf కార్డుకు మద్దతిస్తుంది మరియు 3 గంటల బ్యాటరీ కాలం మంచి నాణ్యత కలిగిన మంచి చిత్రం దయచేసి ఈ ప్రోడక్ట్ని కొనుగోలు చేయండి ఒకవేళ మీకు నచ్చితే మీ డబ్బు మరియు సమయం వృధా,0
హలో ఫ్రెండ్స్ ఈ ఫోన్ కొనుగోలు చేయకూడదని నేను మీకు చెప్పాలనుకుంటున్నాను ఎందుకంటే ఈ ధర వద్ద  ఇప్పుడు ఒక 32gb వేరియంట్ కొనుగోలు చెయ్యవచ్చు  దీనిలో 16 gb ROM మాత్రమే ఉంది  దీని బ్యాటరీ 2730mah ఇది దీర్ఘ కాల బ్యాటరీ కాదు  దాని బ్యాటరీ బ్యాకప్ ఉపయోగించలేకుంటే 1 రోజు వస్తుంది కొన్ని భారీ గేమ్స్ ఆడినప్పుడు కొన్ని లాగ్స్ మరియు సమస్యలు తెరపై కనిపిస్తున్నాయి ఎక్కువసేపు దీనిని ఉపయోగించినప్పుడు ఇది వేడెక్కుతుంది దాని స్క్రీన్ పరిమాణం 5 2 అంగుళాలు దీని అర్థం మనము ఎక్కువసేపు సినిమాలు మరియు వీడియోలను ఆనందించలేము దీనికి క్వాడ్కోర్ ప్రాసెసర్ కూడా ఉంది ఈ ఫోన్ను ఎవ్వరూ కొనుగోలు చేయ్యద్దని సూచిస్తాను,0
